game,mover,loss,local_dist
ogs_88281654_B7k_W6k.sgf,B,-0.12,
ogs_88281654_B7k_W6k.sgf,W,2.21,1
ogs_88281654_B7k_W6k.sgf,B,0.14,1
ogs_88281654_B7k_W6k.sgf,W,0.86,1
ogs_88281654_B7k_W6k.sgf,B,0.80,2
ogs_88281654_B7k_W6k.sgf,W,0.48,1
ogs_88281654_B7k_W6k.sgf,B,1.46,3
ogs_88281654_B7k_W6k.sgf,W,0.36,1
ogs_88281654_B7k_W6k.sgf,B,0.01,1
ogs_88281654_B7k_W6k.sgf,W,-0.16,2
ogs_88281654_B7k_W6k.sgf,B,1.66,3
ogs_88281654_B7k_W6k.sgf,W,0.20,3
ogs_88281654_B7k_W6k.sgf,B,-0.16,1
ogs_88281654_B7k_W6k.sgf,W,1.30,3
ogs_88281654_B7k_W6k.sgf,B,6.86,1
ogs_88281654_B7k_W6k.sgf,W,-0.03,2
ogs_88281654_B7k_W6k.sgf,B,5.12,1
ogs_88281654_B7k_W6k.sgf,W,2.02,2
ogs_88281654_B7k_W6k.sgf,B,4.55,1
ogs_88281654_B7k_W6k.sgf,W,6.51,2
ogs_88281654_B7k_W6k.sgf,B,5.50,2
ogs_88281654_B7k_W6k.sgf,W,0.44,1
ogs_88281654_B7k_W6k.sgf,B,7.03,1
ogs_88281654_B7k_W6k.sgf,W,-0.39,1
ogs_88281654_B7k_W6k.sgf,B,-0.37,3
ogs_88281654_B7k_W6k.sgf,W,-0.01,4
ogs_88281654_B7k_W6k.sgf,B,-0.16,1
ogs_88281654_B7k_W6k.sgf,W,-0.71,2
ogs_88281654_B7k_W6k.sgf,B,8.05,2
ogs_88281654_B7k_W6k.sgf,W,8.30,1
ogs_88281654_B7k_W6k.sgf,B,19.41,1
ogs_88281654_B7k_W6k.sgf,W,-0.31,3
ogs_88281654_B7k_W6k.sgf,B,-0.03,1
ogs_88281654_B7k_W6k.sgf,W,-0.68,2
ogs_88281654_B7k_W6k.sgf,B,-1.07,4
ogs_88281654_B7k_W6k.sgf,W,-0.30,1
ogs_88281654_B7k_W6k.sgf,B,0.34,2
ogs_88281654_B7k_W6k.sgf,W,0.59,3
ogs_88281654_B7k_W6k.sgf,B,11.36,3
ogs_88281654_B7k_W6k.sgf,W,11.20,3
ogs_88281654_B7k_W6k.sgf,B,0.58,6
ogs_88281654_B7k_W6k.sgf,W,-0.02,1
ogs_88281654_B7k_W6k.sgf,B,0.37,1
ogs_88281654_B7k_W6k.sgf,W,-0.10,1
ogs_88281654_B7k_W6k.sgf,B,2.14,2
ogs_88281654_B7k_W6k.sgf,W,0.12,1
ogs_88281654_B7k_W6k.sgf,B,1.16,4
ogs_88281654_B7k_W6k.sgf,W,-0.15,1
ogs_88281654_B7k_W6k.sgf,B,-0.22,1
ogs_88281654_B7k_W6k.sgf,W,-0.03,1
ogs_88281654_B7k_W6k.sgf,B,0.10,1
ogs_88281654_B7k_W6k.sgf,W,-0.12,2
ogs_88281654_B7k_W6k.sgf,B,0.63,3
ogs_88281654_B7k_W6k.sgf,B,0.12,
ogs_88281654_B7k_W6k.sgf,W,-0.48,1
ogs_88281654_B7k_W6k.sgf,B,0.16,1
ogs_88281654_B7k_W6k.sgf,B,0.29,
ogs_88281654_B7k_W6k.sgf,W,0.45,5
ogs_88281654_B7k_W6k.sgf,B,0.05,5
ogs_88281654_B7k_W6k.sgf,W,0.39,2
ogs_88281654_B7k_W6k.sgf,B,0.63,5
ogs_88281654_B7k_W6k.sgf,W,0.52,1
ogs_88281654_B7k_W6k.sgf,B,0.77,2
ogs_88281654_B7k_W6k.sgf,W,0.00,2
ogs_88281654_B7k_W6k.sgf,B,0.63,1
ogs_88281654_B7k_W6k.sgf,W,0.61,1
ogs_88281654_B7k_W6k.sgf,B,0.48,5
ogs_88281654_B7k_W6k.sgf,B,0.29,
ogs_88281654_B7k_W6k.sgf,B,-0.18,
ogs_88315557_B5k_W7k.sgf,B,0.03,
ogs_88315557_B5k_W7k.sgf,W,0.70,2
ogs_88315557_B5k_W7k.sgf,B,0.37,2
ogs_88315557_B5k_W7k.sgf,W,0.27,2
ogs_88315557_B5k_W7k.sgf,B,0.73,4
ogs_88315557_B5k_W7k.sgf,W,0.45,1
ogs_88315557_B5k_W7k.sgf,B,4.29,2
ogs_88315557_B5k_W7k.sgf,W,-0.38,1
ogs_88315557_B5k_W7k.sgf,B,-0.26,1
ogs_88315557_B5k_W7k.sgf,W,6.92,2
ogs_88315557_B5k_W7k.sgf,B,0.49,1
ogs_88315557_B5k_W7k.sgf,W,2.29,1
ogs_88315557_B5k_W7k.sgf,B,2.94,1
ogs_88315557_B5k_W7k.sgf,W,-0.12,5
ogs_88315557_B5k_W7k.sgf,B,-0.22,1
ogs_88315557_B5k_W7k.sgf,W,2.66,2
ogs_88315557_B5k_W7k.sgf,B,0.05,1
ogs_88315557_B5k_W7k.sgf,W,9.53,3
ogs_88315557_B5k_W7k.sgf,B,-0.05,4
ogs_88315557_B5k_W7k.sgf,W,0.26,1
ogs_88315557_B5k_W7k.sgf,B,-0.24,2
ogs_88315557_B5k_W7k.sgf,W,5.08,6
ogs_88315557_B5k_W7k.sgf,B,0.60,1
ogs_88315557_B5k_W7k.sgf,W,0.58,1
ogs_88315557_B5k_W7k.sgf,B,0.62,2
ogs_88315557_B5k_W7k.sgf,W,2.87,1
ogs_88315557_B5k_W7k.sgf,B,10.31,2
ogs_88315557_B5k_W7k.sgf,W,-0.61,3
ogs_88315557_B5k_W7k.sgf,B,-0.06,1
ogs_88315557_B5k_W7k.sgf,W,-0.12,2
ogs_88315557_B5k_W7k.sgf,B,0.49,2
ogs_88315557_B5k_W7k.sgf,W,0.05,1
ogs_88315557_B5k_W7k.sgf,B,1.12,7
ogs_88315557_B5k_W7k.sgf,W,19.69,1
ogs_88315557_B5k_W7k.sgf,B,18.58,2
ogs_88315557_B5k_W7k.sgf,W,15.21,2
ogs_88315557_B5k_W7k.sgf,B,-2.76,1
ogs_88315557_B5k_W7k.sgf,W,19.37,1
ogs_88315557_B5k_W7k.sgf,B,-0.62,2
ogs_88315557_B5k_W7k.sgf,W,-0.14,2
ogs_88315557_B5k_W7k.sgf,B,0.23,1
ogs_88315557_B5k_W7k.sgf,W,3.13,2
ogs_88315557_B5k_W7k.sgf,B,2.88,1
ogs_88315557_B5k_W7k.sgf,W,2.81,1
ogs_88315557_B5k_W7k.sgf,B,4.04,2
ogs_88315557_B5k_W7k.sgf,W,1.44,3
ogs_88315557_B5k_W7k.sgf,B,0.04,1
ogs_88315557_B5k_W7k.sgf,W,2.49,1
ogs_88315557_B5k_W7k.sgf,B,3.13,3
ogs_88315557_B5k_W7k.sgf,W,3.19,3
ogs_88315557_B5k_W7k.sgf,B,3.38,3
ogs_88315936_B7k_W5k.sgf,B,-0.13,
ogs_88315936_B7k_W5k.sgf,W,2.66,1
ogs_88315936_B7k_W5k.sgf,B,0.59,1
ogs_88315936_B7k_W5k.sgf,W,-0.23,2
ogs_88315936_B7k_W5k.sgf,B,-0.49,1
ogs_88315936_B7k_W5k.sgf,W,-0.08,1
ogs_88315936_B7k_W5k.sgf,B,0.56,3
ogs_88315936_B7k_W5k.sgf,W,4.77,2
ogs_88315936_B7k_W5k.sgf,B,0.31,3
ogs_88315936_B7k_W5k.sgf,W,-0.05,2
ogs_88315936_B7k_W5k.sgf,B,0.08,1
ogs_88315936_B7k_W5k.sgf,W,7.04,3
ogs_88315936_B7k_W5k.sgf,B,1.92,4
ogs_88315936_B7k_W5k.sgf,W,1.46,1
ogs_88315936_B7k_W5k.sgf,B,7.32,1
ogs_88315936_B7k_W5k.sgf,W,-0.10,2
ogs_88315936_B7k_W5k.sgf,B,0.19,2
