game,mover,loss,local_dist
ogs_88476345_B16k_W14k.sgf,B,1.39,
ogs_88476345_B16k_W14k.sgf,W,0.93,4
ogs_88476345_B16k_W14k.sgf,B,2.98,1
ogs_88476345_B16k_W14k.sgf,W,2.93,5
ogs_88476345_B16k_W14k.sgf,B,2.55,4
ogs_88476345_B16k_W14k.sgf,W,1.09,5
ogs_88476345_B16k_W14k.sgf,B,-0.12,3
ogs_88476345_B16k_W14k.sgf,W,0.10,1
ogs_88476345_B16k_W14k.sgf,B,0.13,1
ogs_88476345_B16k_W14k.sgf,W,-0.19,2
ogs_88476345_B16k_W14k.sgf,B,-0.01,1
ogs_88476345_B16k_W14k.sgf,W,1.88,1
ogs_88476345_B16k_W14k.sgf,B,5.14,1
ogs_88476345_B16k_W14k.sgf,W,-0.17,1
ogs_88476345_B16k_W14k.sgf,B,2.95,2
ogs_88476345_B16k_W14k.sgf,W,6.52,1
ogs_88476345_B16k_W14k.sgf,B,5.82,1
ogs_88476345_B16k_W14k.sgf,W,1.40,4
ogs_88476345_B16k_W14k.sgf,B,4.39,6
ogs_88476345_B16k_W14k.sgf,W,8.08,1
ogs_88476345_B16k_W14k.sgf,B,2.95,5
ogs_88476345_B16k_W14k.sgf,W,1.59,1
ogs_88476345_B16k_W14k.sgf,B,-0.82,2
ogs_88476345_B16k_W14k.sgf,W,2.97,2
ogs_88476345_B16k_W14k.sgf,B,0.20,4
ogs_88476345_B16k_W14k.sgf,W,4.39,1
ogs_88476345_B16k_W14k.sgf,B,12.01,3
ogs_88476345_B16k_W14k.sgf,W,-0.15,2
ogs_88476345_B16k_W14k.sgf,B,14.55,2
ogs_88476345_B16k_W14k.sgf,W,-0.57,2
ogs_88476345_B16k_W14k.sgf,B,2.84,3
ogs_88476345_B16k_W14k.sgf,W,2.91,1
ogs_88476345_B16k_W14k.sgf,B,0.41,2
ogs_88476345_B16k_W14k.sgf,W,-0.26,1
ogs_88476345_B16k_W14k.sgf,B,3.14,3
ogs_88476345_B16k_W14k.sgf,W,7.79,2
ogs_88476345_B16k_W14k.sgf,B,-0.42,2
ogs_88476345_B16k_W14k.sgf,W,0.68,2
ogs_88476345_B16k_W14k.sgf,B,0.00,3
ogs_88476345_B16k_W14k.sgf,W,-0.01,1
ogs_88476345_B16k_W14k.sgf,B,1.45,2
ogs_88476345_B16k_W14k.sgf,W,6.37,6
ogs_88476345_B16k_W14k.sgf,B,0.72,1
ogs_88476345_B16k_W14k.sgf,W,-0.01,2
ogs_88476345_B16k_W14k.sgf,B,6.37,2
