game,mover,loss,local_dist
ogs_24972818_B17k_W17k.sgf,B,1.60,
ogs_24972818_B17k_W17k.sgf,W,1.41,4
ogs_24972818_B17k_W17k.sgf,B,2.51,1
ogs_24972818_B17k_W17k.sgf,W,1.45,3
ogs_24972818_B17k_W17k.sgf,B,1.34,2
ogs_24972818_B17k_W17k.sgf,W,1.44,3
ogs_24972818_B17k_W17k.sgf,B,2.28,3
ogs_24972818_B17k_W17k.sgf,W,0.07,1
ogs_24972818_B17k_W17k.sgf,B,0.45,1
ogs_24972818_B17k_W17k.sgf,W,0.52,2
ogs_24972818_B17k_W17k.sgf,B,2.64,1
ogs_24972818_B17k_W17k.sgf,W,-0.21,1
ogs_24972818_B17k_W17k.sgf,B,1.88,3
ogs_24972818_B17k_W17k.sgf,W,3.75,2
ogs_24972818_B17k_W17k.sgf,B,11.13,2
ogs_24972818_B17k_W17k.sgf,W,5.61,2
ogs_24972818_B17k_W17k.sgf,B,5.37,1
ogs_24972818_B17k_W17k.sgf,W,15.82,1
ogs_24972818_B17k_W17k.sgf,B,15.82,1
ogs_24972818_B17k_W17k.sgf,W,14.68,2
ogs_24972818_B17k_W17k.sgf,B,14.55,1
ogs_24972818_B17k_W17k.sgf,W,6.43,3
ogs_24972818_B17k_W17k.sgf,B,3.65,1
ogs_24972818_B17k_W17k.sgf,W,12.67,2
ogs_24972818_B17k_W17k.sgf,B,9.13,3
ogs_24972818_B17k_W17k.sgf,W,-1.02,4
ogs_24972818_B17k_W17k.sgf,B,0.11,3
ogs_24972818_B17k_W17k.sgf,W,22.85,3
ogs_24972818_B17k_W17k.sgf,B,13.57,5
ogs_24972818_B17k_W17k.sgf,W,28.96,3
ogs_24972818_B17k_W17k.sgf,B,10.66,2
ogs_24972818_B17k_W17k.sgf,W,23.86,3
ogs_24972818_B17k_W17k.sgf,B,22.35,2
ogs_24972818_B17k_W17k.sgf,W,28.43,2
ogs_24972818_B17k_W17k.sgf,B,27.07,2
ogs_24972818_B17k_W17k.sgf,W,31.84,1
ogs_24972818_B17k_W17k.sgf,B,29.56,1
ogs_24972818_B17k_W17k.sgf,W,30.54,1
ogs_24972818_B17k_W17k.sgf,B,30.24,2
ogs_24972818_B17k_W17k.sgf,W,29.87,1
ogs_24972818_B17k_W17k.sgf,B,26.05,1
ogs_24972818_B17k_W17k.sgf,W,16.41,1
ogs_24972818_B17k_W17k.sgf,B,21.22,2
ogs_24972818_B17k_W17k.sgf,W,23.18,2
ogs_24972818_B17k_W17k.sgf,B,20.46,2
ogs_24972818_B17k_W17k.sgf,W,11.85,1
ogs_24972818_B17k_W17k.sgf,B,11.25,1
ogs_24972818_B17k_W17k.sgf,W,12.42,1
ogs_24972818_B17k_W17k.sgf,B,0.29,1
ogs_24972818_B17k_W17k.sgf,W,32.38,1
ogs_24972818_B17k_W17k.sgf,B,35.19,2
ogs_24972818_B17k_W17k.sgf,W,-0.60,1
ogs_24972818_B17k_W17k.sgf,B,-0.61,4
ogs_24972818_B17k_W17k.sgf,W,22.90,4
ogs_24972818_B17k_W17k.sgf,B,12.65,2
ogs_24972818_B17k_W17k.sgf,W,0.15,1
ogs_24972818_B17k_W17k.sgf,B,11.63,1
ogs_24972818_B17k_W17k.sgf,W,18.47,1
ogs_24972818_B17k_W17k.sgf,B,-1.21,1
ogs_24972818_B17k_W17k.sgf,W,20.58,1
ogs_24972818_B17k_W17k.sgf,B,22.36,1
ogs_24972818_B17k_W17k.sgf,W,3.09,1
ogs_24972818_B17k_W17k.sgf,B,-0.97,2
ogs_24972818_B17k_W17k.sgf,W,19.74,3
ogs_24972818_B17k_W17k.sgf,B,21.94,1
ogs_24972818_B17k_W17k.sgf,W,21.46,1
ogs_24972818_B17k_W17k.sgf,B,21.03,1
ogs_24972818_B17k_W17k.sgf,W,20.92,1
ogs_24972818_B17k_W17k.sgf,B,23.13,3
ogs_24972818_B17k_W17k.sgf,W,21.88,1
ogs_24972818_B17k_W17k.sgf,B,21.73,1
ogs_24972818_B17k_W17k.sgf,W,23.21,2
ogs_24972818_B17k_W17k.sgf,B,0.11,6
ogs_24972818_B17k_W17k.sgf,W,0.62,5
ogs_24972818_B17k_W17k.sgf,B,0.59,6
ogs_24972818_B17k_W17k.sgf,W,0.30,8
ogs_24972818_B17k_W17k.sgf,B,1.80,1
ogs_24972818_B17k_W17k.sgf,W,1.48,2
ogs_24972818_B17k_W17k.sgf,B,0.19,1
ogs_24972818_B17k_W17k.sgf,W,0.56,1
ogs_24972818_B17k_W17k.sgf,B,-0.09,1
ogs_24972818_B17k_W17k.sgf,W,0.87,6
ogs_24972818_B17k_W17k.sgf,B,0.75,1
ogs_24972818_B17k_W17k.sgf,W,0.77,2
ogs_24972818_B17k_W17k.sgf,B,0.98,2
ogs_24972818_B17k_W17k.sgf,W,0.80,3
ogs_24972818_B17k_W17k.sgf,B,0.60,1
ogs_24972818_B17k_W17k.sgf,W,0.76,2
ogs_24972818_B17k_W17k.sgf,B,0.76,8
ogs_24972818_B17k_W17k.sgf,W,0.76,3
ogs_88431470_B19k_W19k.sgf,B,0.20,
ogs_88431470_B19k_W19k.sgf,W,0.08,2
ogs_88431470_B19k_W19k.sgf,B,1.61,3
ogs_88431470_B19k_W19k.sgf,W,0.46,4
ogs_88431470_B19k_W19k.sgf,B,2.30,4
ogs_88431470_B19k_W19k.sgf,W,2.48,1
ogs_88431470_B19k_W19k.sgf,B,-0.25,1
ogs_88431470_B19k_W19k.sgf,W,-0.12,1
ogs_88431470_B19k_W19k.sgf,B,2.29,1
ogs_88431470_B19k_W19k.sgf,W,2.81,3
ogs_88431470_B19k_W19k.sgf,B,6.37,3
ogs_88431470_B19k_W19k.sgf,W,-0.19,2
ogs_88431470_B19k_W19k.sgf,B,0.14,1
ogs_88431470_B19k_W19k.sgf,W,3.51,1
ogs_88431470_B19k_W19k.sgf,B,3.06,1
ogs_88431470_B19k_W19k.sgf,W,10.20,1
ogs_88431470_B19k_W19k.sgf,B,9.77,1
ogs_88431470_B19k_W19k.sgf,W,4.00,4
ogs_88431470_B19k_W19k.sgf,B,4.72,3
ogs_88431470_B19k_W19k.sgf,W,-0.11,2
ogs_88431470_B19k_W19k.sgf,B,0.33,1
ogs_88431470_B19k_W19k.sgf,W,-0.26,2
ogs_88431470_B19k_W19k.sgf,B,0.86,3
ogs_88431470_B19k_W19k.sgf,W,1.96,1
ogs_88431470_B19k_W19k.sgf,B,3.26,1
ogs_88431470_B19k_W19k.sgf,W,8.88,2
ogs_88431470_B19k_W19k.sgf,B,-4.74,2
ogs_88431470_B19k_W19k.sgf,W,15.93,3
ogs_88431470_B19k_W19k.sgf,B,0.56,6
ogs_88431470_B19k_W19k.sgf,W,0.98,1
