game,mover,loss,local_dist
ogs_76438551_B12k_W10k.sgf,B,0.47,
ogs_76438551_B12k_W10k.sgf,W,1.02,4
ogs_76438551_B12k_W10k.sgf,B,2.66,1
ogs_76438551_B12k_W10k.sgf,W,2.66,4
ogs_76438551_B12k_W10k.sgf,B,5.42,1
ogs_76438551_B12k_W10k.sgf,W,10.27,3
ogs_76438551_B12k_W10k.sgf,B,5.10,2
ogs_76438551_B12k_W10k.sgf,W,-0.04,2
ogs_76438551_B12k_W10k.sgf,B,3.56,1
ogs_76438551_B12k_W10k.sgf,W,16.75,3
ogs_76438551_B12k_W10k.sgf,B,26.49,1
ogs_76438551_B12k_W10k.sgf,W,0.03,3
ogs_76438551_B12k_W10k.sgf,B,-0.75,2
ogs_76438551_B12k_W10k.sgf,W,16.38,2
ogs_76438551_B12k_W10k.sgf,B,4.18,2
ogs_76438551_B12k_W10k.sgf,W,-0.35,3
ogs_76438551_B12k_W10k.sgf,B,-0.16,1
ogs_76438551_B12k_W10k.sgf,W,-0.17,2
ogs_76438551_B12k_W10k.sgf,B,1.18,5
ogs_76438551_B12k_W10k.sgf,W,-0.08,1
ogs_76438551_B12k_W10k.sgf,B,0.16,1
ogs_76438551_B12k_W10k.sgf,W,-0.66,2
ogs_76438551_B12k_W10k.sgf,B,7.75,6
ogs_76438551_B12k_W10k.sgf,W,1.45,6
ogs_76438551_B12k_W10k.sgf,B,4.95,4
ogs_76438551_B12k_W10k.sgf,W,0.12,1
ogs_76438551_B12k_W10k.sgf,B,1.35,3
ogs_76438551_B12k_W10k.sgf,W,0.99,2
ogs_76438551_B12k_W10k.sgf,B,-0.36,3
ogs_76438551_B12k_W10k.sgf,W,0.37,3
ogs_76438551_B12k_W10k.sgf,B,-0.33,1
ogs_76438551_B12k_W10k.sgf,W,5.29,2
ogs_76438551_B12k_W10k.sgf,B,0.34,1
ogs_76438551_B12k_W10k.sgf,W,-0.35,1
ogs_76438551_B12k_W10k.sgf,B,0.21,1
ogs_76438551_B12k_W10k.sgf,W,-0.11,2
ogs_76438551_B12k_W10k.sgf,B,0.46,3
ogs_76438551_B12k_W10k.sgf,W,-0.97,4
ogs_76438551_B12k_W10k.sgf,B,0.41,1
ogs_76438551_B12k_W10k.sgf,W,-0.06,2
ogs_76438551_B12k_W10k.sgf,B,7.08,6
ogs_76438551_B12k_W10k.sgf,W,8.06,5
ogs_76438551_B12k_W10k.sgf,B,0.63,7
ogs_76438551_B12k_W10k.sgf,W,1.17,1
ogs_76438551_B12k_W10k.sgf,B,3.92,1
ogs_76438551_B12k_W10k.sgf,W,0.12,1
ogs_76438551_B12k_W10k.sgf,B,0.81,2
ogs_76438551_B12k_W10k.sgf,W,6.18,3
ogs_76438551_B12k_W10k.sgf,B,0.69,1
ogs_76438551_B12k_W10k.sgf,W,2.69,1
ogs_76438551_B12k_W10k.sgf,B,0.50,1
ogs_76438551_B12k_W10k.sgf,W,0.07,6
ogs_76438551_B12k_W10k.sgf,B,0.16,5
ogs_76438551_B12k_W10k.sgf,W,-0.27,6
ogs_76438551_B12k_W10k.sgf,B,0.10,2
ogs_76438551_B12k_W10k.sgf,W,0.21,5
ogs_76438551_B12k_W10k.sgf,B,2.23,2
ogs_76438551_B12k_W10k.sgf,W,0.11,1
ogs_76438551_B12k_W10k.sgf,B,-0.08,1
ogs_76438551_B12k_W10k.sgf,W,-0.19,3
ogs_76438551_B12k_W10k.sgf,B,-0.04,4
ogs_76438551_B12k_W10k.sgf,W,0.16,5
ogs_76438551_B12k_W10k.sgf,B,-0.14,1
ogs_76438551_B12k_W10k.sgf,W,-0.04,5
ogs_76438551_B12k_W10k.sgf,W,0.07,
ogs_87581391_B13k_W12k.sgf,B,-0.10,
ogs_87581391_B13k_W12k.sgf,W,0.09,2
ogs_87581391_B13k_W12k.sgf,B,-0.01,1
ogs_87581391_B13k_W12k.sgf,W,-0.01,1
ogs_87581391_B13k_W12k.sgf,B,0.36,1
ogs_87581391_B13k_W12k.sgf,W,0.47,1
ogs_87581391_B13k_W12k.sgf,B,6.07,2
ogs_87581391_B13k_W12k.sgf,W,2.08,2
ogs_87581391_B13k_W12k.sgf,B,0.34,2
ogs_87581391_B13k_W12k.sgf,W,1.64,1
ogs_87581391_B13k_W12k.sgf,B,5.58,1
ogs_87581391_B13k_W12k.sgf,W,5.89,1
ogs_87581391_B13k_W12k.sgf,B,6.73,1
ogs_87581391_B13k_W12k.sgf,W,9.34,1
ogs_87581391_B13k_W12k.sgf,B,0.14,3
ogs_87581391_B13k_W12k.sgf,W,0.30,1
ogs_87581391_B13k_W12k.sgf,B,8.69,1
ogs_87581391_B13k_W12k.sgf,W,0.08,1
ogs_87581391_B13k_W12k.sgf,B,5.63,3
ogs_87581391_B13k_W12k.sgf,W,9.88,3
ogs_87581391_B13k_W12k.sgf,B,9.50,1
ogs_87581391_B13k_W12k.sgf,W,2.20,1
ogs_87581391_B13k_W12k.sgf,B,1.41,5
ogs_87581391_B13k_W12k.sgf,W,2.96,1
ogs_87581391_B13k_W12k.sgf,B,3.42,1
ogs_87581391_B13k_W12k.sgf,W,3.65,1
ogs_87581391_B13k_W12k.sgf,B,5.79,1
ogs_87581391_B13k_W12k.sgf,W,9.00,1
ogs_87581391_B13k_W12k.sgf,B,0.43,6
ogs_87581391_B13k_W12k.sgf,W,6.78,1
ogs_87581391_B13k_W12k.sgf,B,9.97,1
ogs_87581391_B13k_W12k.sgf,W,12.01,1
ogs_87581391_B13k_W12k.sgf,B,7.03,2
ogs_87581391_B13k_W12k.sgf,W,-0.11,1
ogs_87581391_B13k_W12k.sgf,B,4.64,3
ogs_87581391_B13k_W12k.sgf,W,0.90,2
ogs_87581391_B13k_W12k.sgf,B,6.54,2
ogs_87581391_B13k_W12k.sgf,W,-0.26,2
ogs_87581391_B13k_W12k.sgf,B,4.21,4
ogs_87581391_B13k_W12k.sgf,W,0.21,1
ogs_87581391_B13k_W12k.sgf,B,0.27,1
ogs_87581391_B13k_W12k.sgf,W,6.76,1
ogs_87581391_B13k_W12k.sgf,B,6.62,2
ogs_87581391_B13k_W12k.sgf,W,7.50,1
ogs_87581391_B13k_W12k.sgf,B,6.98,1
ogs_87581391_B13k_W12k.sgf,W,6.87,1
ogs_87581391_B13k_W12k.sgf,B,7.05,1
ogs_87581391_B13k_W12k.sgf,W,6.78,1
ogs_87581391_B13k_W12k.sgf,B,6.76,1
ogs_87581391_B13k_W12k.sgf,W,0.12,4
ogs_87581391_B13k_W12k.sgf,B,-0.01,4
ogs_87581391_B13k_W12k.sgf,W,0.06,2
ogs_87581391_B13k_W12k.sgf,B,0.04,1
ogs_87581391_B13k_W12k.sgf,W,7.68,3
ogs_87581391_B13k_W12k.sgf,B,0.98,1
ogs_87581391_B13k_W12k.sgf,W,-0.39,2
ogs_87624015_B12k_W10k.sgf,B,0.03,
ogs_87624015_B12k_W10k.sgf,W,0.49,2
ogs_87624015_B12k_W10k.sgf,B,0.14,3
ogs_87624015_B12k_W10k.sgf,W,0.21,2
ogs_87624015_B12k_W10k.sgf,B,2.56,2
ogs_87624015_B12k_W10k.sgf,W,0.70,1
ogs_87624015_B12k_W10k.sgf,B,-0.09,1
ogs_87624015_B12k_W10k.sgf,W,1.37,3
ogs_87624015_B12k_W10k.sgf,B,2.03,1
ogs_87624015_B12k_W10k.sgf,W,-0.03,1
ogs_87624015_B12k_W10k.sgf,B,2.14,1
ogs_87624015_B12k_W10k.sgf,W,-1.58,1
ogs_87624015_B12k_W10k.sgf,B,-1.92,3
ogs_87624015_B12k_W10k.sgf,W,-0.10,1
ogs_87624015_B12k_W10k.sgf,B,0.73,2
ogs_87624015_B12k_W10k.sgf,W,1.84,2
ogs_87624015_B12k_W10k.sgf,B,6.36,4
ogs_87624015_B12k_W10k.sgf,W,0.43,1
ogs_87624015_B12k_W10k.sgf,B,2.47,1
ogs_87624015_B12k_W10k.sgf,W,0.49,3
ogs_87624015_B12k_W10k.sgf,B,-0.09,1
ogs_87624015_B12k_W10k.sgf,W,-0.16,2
ogs_87624015_B12k_W10k.sgf,B,-1.85,4
ogs_87624015_B12k_W10k.sgf,W,0.44,4
ogs_87624015_B12k_W10k.sgf,B,0.11,1
ogs_87624015_B12k_W10k.sgf,W,1.66,1
ogs_87624015_B12k_W10k.sgf,B,0.22,6
ogs_87624015_B12k_W10k.sgf,W,2.27,1
ogs_87624015_B12k_W10k.sgf,B,0.14,6
ogs_87624015_B12k_W10k.sgf,W,0.92,5
ogs_87624015_B12k_W10k.sgf,B,2.60,3
ogs_87624015_B12k_W10k.sgf,W,0.63,8
ogs_87624015_B12k_W10k.sgf,B,0.10,1
ogs_87624015_B12k_W10k.sgf,W,2.50,1
ogs_87624015_B12k_W10k.sgf,B,0.21,1
ogs_87624015_B12k_W10k.sgf,W,1.01,3
ogs_87624015_B12k_W10k.sgf,B,-0.23,6
ogs_87624015_B12k_W10k.sgf,W,0.29,1
ogs_87624015_B12k_W10k.sgf,B,0.40,1
ogs_87624015_B12k_W10k.sgf,W,0.26,1
ogs_87624015_B12k_W10k.sgf,B,0.13,3
ogs_87624015_B12k_W10k.sgf,W,0.70,7
ogs_87624015_B12k_W10k.sgf,B,2.48,1
ogs_87624015_B12k_W10k.sgf,W,-0.10,3
ogs_87624056_B11k_W12k.sgf,B,-0.10,
ogs_87624056_B11k_W12k.sgf,W,0.06,3
ogs_87624056_B11k_W12k.sgf,B,0.39,2
ogs_87624056_B11k_W12k.sgf,W,0.21,1
ogs_87624056_B11k_W12k.sgf,B,0.37,1
ogs_87624056_B11k_W12k.sgf,W,3.02,2
ogs_87624056_B11k_W12k.sgf,B,-0.01,1
ogs_87624056_B11k_W12k.sgf,W,2.88,1
ogs_87624056_B11k_W12k.sgf,B,-0.01,1
ogs_87624056_B11k_W12k.sgf,W,4.77,1
ogs_87624056_B11k_W12k.sgf,B,3.39,2
ogs_87624056_B11k_W12k.sgf,W,0.41,3
ogs_87624056_B11k_W12k.sgf,B,0.04,2
ogs_87624056_B11k_W12k.sgf,W,12.51,7
ogs_87624056_B11k_W12k.sgf,B,5.38,2
ogs_87624056_B11k_W12k.sgf,W,7.47,1
ogs_87624056_B11k_W12k.sgf,B,0.82,1
ogs_87624056_B11k_W12k.sgf,W,0.12,3
ogs_87624056_B11k_W12k.sgf,B,7.38,4
ogs_87624056_B11k_W12k.sgf,W,3.65,2
ogs_87624056_B11k_W12k.sgf,B,4.50,3
ogs_87624056_B11k_W12k.sgf,W,0.55,1
ogs_87624056_B11k_W12k.sgf,B,-0.72,2
ogs_87624056_B11k_W12k.sgf,W,5.19,2
ogs_87624056_B11k_W12k.sgf,B,4.09,2
ogs_87624056_B11k_W12k.sgf,W,0.27,1
ogs_87624056_B11k_W12k.sgf,B,-0.02,2
ogs_87624056_B11k_W12k.sgf,W,10.97,5
ogs_87624056_B11k_W12k.sgf,B,5.86,1
ogs_87624056_B11k_W12k.sgf,W,6.27,1
ogs_87624056_B11k_W12k.sgf,B,17.22,2
ogs_87624056_B11k_W12k.sgf,W,0.51,1
ogs_87624056_B11k_W12k.sgf,B,0.96,2
ogs_87624056_B11k_W12k.sgf,W,0.57,1
ogs_87624056_B11k_W12k.sgf,B,0.76,6
ogs_87624056_B11k_W12k.sgf,W,0.54,1
ogs_87624056_B11k_W12k.sgf,B,4.43,1
ogs_87624056_B11k_W12k.sgf,W,1.98,1
ogs_87624056_B11k_W12k.sgf,B,5.47,2
ogs_87624056_B11k_W12k.sgf,W,3.38,7
ogs_87624056_B11k_W12k.sgf,B,3.22,1
ogs_87624056_B11k_W12k.sgf,W,0.03,1
ogs_87624056_B11k_W12k.sgf,B,0.03,1
ogs_87624056_B11k_W12k.sgf,W,0.01,1
ogs_87624056_B11k_W12k.sgf,B,0.05,1
ogs_87624056_B11k_W12k.sgf,W,0.06,1
