game,mover,loss,local_dist
ogs_88028749_B4k_W4k.sgf,B,-0.13,
ogs_88028749_B4k_W4k.sgf,W,0.14,2
ogs_88028749_B4k_W4k.sgf,B,0.22,3
ogs_88028749_B4k_W4k.sgf,W,0.51,2
ogs_88028749_B4k_W4k.sgf,B,0.65,4
ogs_88028749_B4k_W4k.sgf,W,0.16,1
ogs_88028749_B4k_W4k.sgf,B,0.04,1
ogs_88028749_B4k_W4k.sgf,W,1.34,1
ogs_88028749_B4k_W4k.sgf,B,-0.22,1
ogs_88028749_B4k_W4k.sgf,W,-0.29,1
ogs_88028749_B4k_W4k.sgf,B,-0.21,1
ogs_88028749_B4k_W4k.sgf,W,2.86,4
ogs_88028749_B4k_W4k.sgf,B,-0.17,1
ogs_88028749_B4k_W4k.sgf,W,7.38,1
ogs_88028749_B4k_W4k.sgf,B,1.93,2
ogs_88028749_B4k_W4k.sgf,W,7.47,1
ogs_88028749_B4k_W4k.sgf,B,1.92,3
ogs_88028749_B4k_W4k.sgf,W,1.33,1
ogs_88028749_B4k_W4k.sgf,B,9.22,3
ogs_88028749_B4k_W4k.sgf,W,1.14,2
ogs_88028749_B4k_W4k.sgf,B,-1.04,3
ogs_88028749_B4k_W4k.sgf,W,5.35,4
ogs_88028749_B4k_W4k.sgf,B,0.07,1
ogs_88028749_B4k_W4k.sgf,W,2.47,1
ogs_88028749_B4k_W4k.sgf,B,0.59,4
ogs_88028749_B4k_W4k.sgf,W,0.22,1
ogs_88028749_B4k_W4k.sgf,B,0.14,2
ogs_88028749_B4k_W4k.sgf,W,0.74,2
ogs_88028749_B4k_W4k.sgf,B,0.05,4
ogs_88028749_B4k_W4k.sgf,W,0.27,6
ogs_88028749_B4k_W4k.sgf,B,6.17,1
ogs_88028749_B4k_W4k.sgf,W,5.76,2
ogs_88028749_B4k_W4k.sgf,B,5.27,1
ogs_88028749_B4k_W4k.sgf,W,0.64,5
ogs_88028749_B4k_W4k.sgf,B,-0.50,1
ogs_88028749_B4k_W4k.sgf,W,0.31,1
ogs_88028749_B4k_W4k.sgf,B,-0.34,1
ogs_88028749_B4k_W4k.sgf,W,0.12,2
ogs_88028749_B4k_W4k.sgf,B,3.18,2
ogs_88028749_B4k_W4k.sgf,W,0.12,7
ogs_88028749_B4k_W4k.sgf,B,0.04,1
ogs_88028749_B4k_W4k.sgf,W,0.02,2
ogs_88028749_B4k_W4k.sgf,B,2.42,6
ogs_88028749_B4k_W4k.sgf,W,0.27,4
ogs_88092120_B4k_W4k.sgf,B,0.15,
ogs_88092120_B4k_W4k.sgf,W,0.05,2
ogs_88092120_B4k_W4k.sgf,B,0.58,3
ogs_88092120_B4k_W4k.sgf,W,0.83,3
ogs_88092120_B4k_W4k.sgf,B,-0.20,1
ogs_88092120_B4k_W4k.sgf,W,0.06,1
ogs_88092120_B4k_W4k.sgf,B,-0.06,1
ogs_88092120_B4k_W4k.sgf,W,0.03,2
ogs_88092120_B4k_W4k.sgf,B,2.20,1
ogs_88092120_B4k_W4k.sgf,W,9.54,1
ogs_88092120_B4k_W4k.sgf,B,7.29,1
ogs_88092120_B4k_W4k.sgf,W,8.90,2
ogs_88092120_B4k_W4k.sgf,B,-0.10,1
ogs_88092120_B4k_W4k.sgf,W,9.24,4
ogs_88092120_B4k_W4k.sgf,B,8.68,1
ogs_88092120_B4k_W4k.sgf,W,3.59,2
ogs_88092120_B4k_W4k.sgf,B,5.18,2
ogs_88092120_B4k_W4k.sgf,W,0.84,1
ogs_88092120_B4k_W4k.sgf,B,-0.36,2
